indicators_harmonized,change in indic name,ga,sua,va,ias,geo,ipcc,km_gbf,sdg,cites,cms,iccwc,ramsar,unccd,usage,ipbes,policy,indic,indic_ext,var_ext,ILK_ext,Categories,Categories_2,Subcategories,Subcategories_2
surface humidity,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
precipitable water vapour,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
precipitation,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
precipitation-evaporation,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
runoff,,,,,,,1,,,,,,,,1,,,,1,,,Direct drivers,,Pollution,
sea level pressure and winds,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
hadley/walker circulation,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
global monsoons,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
strom tracks and jets,,,,,,,1,,,,,,,,1,,,,1,,,Human assets,,Infrastructure (build-up area),
sudden stratospheric warmings,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
seasonality and thickness,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,State of ecosystems,
terrestrial snow cover,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,State of ecosystems,
glacier mass and extent,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Change in ecosystems,
terrestrial permafrost temperature and active layer thickness,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,ecosystems,Abiotic conditions,State of ecosystems
sea level,,,,,,1,1,,,,,,,,2,,,,1,,,ecosystems,,State of ecosystems,
circulation,,,,,,,1,,,,,,,,1,,,,1,,,,,,
ph and desoxygenation,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
seasonal cycle of co2,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
distribution of marine biota,,,,,,,1,,,,,,,,1,,,,1,,,biodiversity,,State of biodiversity,
primary production of marine biota,,,,,,,1,,,,,,,,1,,,,1,,,Ecosystem services,,Nature contribution,
phenology of marine biota,,,,,,,1,,,,,,,,1,,,,1,,,biodiversity,,State of biodiversity,
distribution of terrestrial biota,,,,,,,1,,,,,,,,1,,,,1,,,biodiversity,,State of biodiversity,
global greening/browning,,,,,,,1,,,,,,,,1,,,,1,,,Direct drivers,,Climate change,
growing season of terrestrial biota,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,State of ecosystems,
benthich isotopes,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
marine sediment cores,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,State of ecosystems,
paleo-temperature records,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
zonally averaged mean annual temperature reconstructions,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
subsurface borehole temperature profiles,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
changes in land versus world trade organisation greenbox agricultural subsidies,,,,,,,1,,,,,,,,1,,,,,1,,Governance,,Nature-based funding,
radio occultation,"a technique, not an indicator",,,,,,1,,,,,,,,1,,,,,1,,,,,
global vegetation cover,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,State of ecosystems (coverage),
atmospheric dust deposition,,,,,,,1,,,,,,,,1,,,,,1,,Direct drivers,,Pollution,
changes in observed cloud cover,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
satellite observations of precipitation,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
upper tropospheric humidity,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
sh monsoons,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
air moisture,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
loss of older ice,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Change in ecosystems,
mean arctic sea ice area,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,State of ecosystems,
marine sediments,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,State of ecosystems,
whaling records,,,,,,,1,,,,,,,,1,,,,,1,,Knowledge systems,,Specific information on human-nature relationship,
old ship logbooks,,,,,,,1,,,,,,,,1,,,,,1,,Knowledge systems,,Specific information on human-nature relationship,
ice core records,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,State of ecosystems,
early nimbus satellite visible and infrared imagery,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,State of ecosystems,
glacier areal and mass changes/loss rate,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Change in ecosystems,
greenland ice sheet fluctuations,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Change in ecosystems,
marine sediments below the ice sheet,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,State of ecosystems,
speleothem records,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,State of ecosystems,
permafrost-vegetation relationships,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
permafrost temperature,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,Direct drivers,Abiotic conditions,Climate change
ground subsidence,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
thermokarst,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,State of ecosystems,
slope instability,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
ice cores,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,Direct drivers,State of ecosystems,Climate change
sediment cores,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,State of ecosystems,
reef growth,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,ecosystems,State of ecosystems (marine),Change in ecosystems
atlantic meridional overturning circulation (amoc),,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
seasonal variations in atmospheric co2 concentrations,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
expansion of oligotrophic subtropical gyres of the atlantic and pacific oceans,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,State of ecosystems (marine),
phytoplankton abundance,,,,,,,1,,,,,,,,1,,,,1,,,biodiversity,,State of biodiversity,
clorophyll concentration,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,State of ecosystems (marine),
phytoplankton community structure,,,,,,,1,,,,,,,,1,,,,,1,,biodiversity,,State of biodiversity,
distribution of species,,,,,,,1,,,,,,,,1,,,,,1,,biodiversity,,State of biodiversity,
el niño-southern oscillation (enso) index,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
changes in phytoplankton phenology,,,,,,,1,,,,,,,,1,,,,1,,,biodiversity,,Change in biodiversity,
ocean-colour,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,State of ecosystems (marine),
normalized difference vegetation index (ndvi),,,,,,1,1,,,,,,,,2,,,,1,,,ecosystems,,State of ecosystems (coverage),
northernmost location of the treeline,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,State of ecosystems (configuration),
ocenan ph,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,Direct drivers,Abiotic conditions,Climate change
north atlantic oscillation (nao) index,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
northern annular mode (nam) index,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
southern annular mode (sam) index,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
oceanic niño index (oni),,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
southern oscillation index (soi),,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
pacific decadal oscillation (pdo),,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
inter-decadal pacific oscillation (ipo) index,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
atlantic multi-decadal variability (amv) index,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
volcanic activity,,,,,,,1,,,,,,,,1,,,,,1,,Direct drivers,,Natural drivers,
ghg changes,,,,,,,1,,,,,,,,1,,,,,1,,Direct drivers,,Climate change,
aerosol changes,,,,,,,1,,,,,,,,1,,,,,1,,Direct drivers,,Climate change,
tree rings,,,,,,,1,,,,,,,,1,,,,,1,,biodiversity,,State of biodiversity,
hadley circulation cell,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
sea ice thermodynamic,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,State of ecosystems,
ocean temperature,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
atmosphere-land co2 fluxes,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
land-use and management,,,,,,,1,,,,,,,,1,,,,1,,,Ecosystem services,,Nature contribution,
wildfires,,,,,,,1,,,,,,,,1,,,,1,,,Direct drivers,,Natural drivers,
indian ocean dipole index (iod),,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
indian ocean basin (iob) index,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
pacific decadal variability (pdv),,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
indian ocean dipole (ipo),,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
ocean salinity,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,Direct drivers,Abiotic conditions,Climate change
global surface air temperature (gsat),,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,Direct drivers,Abiotic conditions,Climate change
global land precipitation,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
arctic sea ice area,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,State of ecosystems,
global mean ocean surface ph,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
carbon uptake by land and ocean,,,,,,,1,,,,,,,,1,,,,1,,,Ecosystem services,ecosystems,Nature contribution,State of ecosystems
northern and southern annular modes (nam and sam),,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
precipitation index,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
circulation index,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
ocean ph,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
land monsoon precipitation index,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
northern hemisphere summer monsoon circulation index,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
el niño-southern oscillation (enso) index bjerknes index,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
changes in mean precipitation,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
contrast of mean precipitation between dry and wet regions and between dry and wet seasons,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
annular mode index,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
land-use co2 emissions,,,,,,,1,,,,,,,,1,,,,1,,,Direct drivers,,Climate change,
fossil co2 emissions,,,,,,,1,,,,,,,,1,,,,1,,,Direct drivers,,Climate change,
non-co2 fossil-fuel emissions,,,,,,,1,,,,,,,,1,,,,1,,,Direct drivers,,Climate change,
land-use related non-co2 emissions,,,,,,,1,,,,,,,,1,,,,1,,,Direct drivers,,Climate change,
co2 concentration,,,,,,1,1,,,,,,,,2,,,,1,1,,ecosystems,Direct drivers,Abiotic conditions,Climate change
ice core measurements,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,Direct drivers,State of ecosystems,Climate change
sink rate,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
15n/14n isotope ratio,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
position of 15n atom in atmospheric n2o,,,,,,,1,,,,,,,,1,,,,,1,,Direct drivers,,Climate change,
atmospheric inversions,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
interannual variability of primary production (pp),,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,State of ecosystems,
global carbon budget,,,,,,,1,,,,,,,,1,,,,,1,,Ecosystem services,,Nature contribution,
global dust deposition,,,,,,,1,,,,,,,,1,,,,,1,,Direct drivers,Direct drivers,Climate change,Pollution
global annual mean tropospheric ozone burden,,,,,,,1,,,,,,,,1,,,,,1,,Direct drivers,ecosystems,Climate change,Abiotic conditions
tropospheric no2 abundance,,,,,,,1,,,,,,,,1,,,,,1,,Direct drivers,,Climate change,
satellite formaldehyde (hcho) observations,,,,,,,1,,,,,,,,1,,,,,1,,Direct drivers,,Climate change,
sulphate in precipitation,,,,,,,1,,,,,,,,1,,,,,1,,Direct drivers,,Climate change,
surface warming,,,,,,,1,,,,,,,,1,,,,1,,,Direct drivers,,Climate change,
sectoral emissions density,,,,,,,1,,,,,,,,1,,,,1,,,Direct drivers,,Climate change,
population-weighted pm2.5 concentrations,,,,,,,1,,,,,,,,1,,,,1,,,Direct drivers,,Pollution,
population-weighted ozone concentrations,,,,,,,1,,,,,,,,1,,,,1,,,Direct drivers,,Pollution,
transient climate response tcr,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
equilibrium climate sensitivity ecs,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
surface turbulent fluxes,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
aerosol index,,,,,,,1,,,,,,,,1,,,,1,,,Direct drivers,,Pollution,
ghs effective radiative forcing,,,,,,,1,,,,,,,,1,,,,1,,,Direct drivers,,Pollution,
antarctic ice sheet loss,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Change in ecosystems,
net climate feedback,,,,,,,1,,,,,,,,1,,,,,1,,Ecosystem services,,Nature contribution,
planck temperature response,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
global surface temperature,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
toa energy budget,,,,,,,1,,,,,,,,1,,,,1,,,Ecosystem services,,Nature contribution,
profile of effective radiative forcing (erf),,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
emission of particular compounds,,,,,,,1,,,,,,,,1,,,,,1,,Direct drivers,,Climate change,
radiative forcing,,,,,,,1,,,,,,,,1,,,,,1,,Direct drivers,,Climate change,
absolute global forcing potential (agfp),,,,,,,1,,,,,,,,1,,,,,1,,Direct drivers,,Climate change,
absolute global temperature change potential (agtp),,,,,,,1,,,,,,,,1,,,,,1,,Direct drivers,,Climate change,
changes in precipitation frequency and intensity,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,Direct drivers,Abiotic conditions,Climate change
precipiation,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
snowfall,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
soil moisture,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
south pacific convergence zone (spcz),,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
inter-tropical convergence zone (itcz) narrowing,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
rainfall,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
poleward shifts in the south atlantic convergence zone (sacz),,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
land rainfall over mc,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
marine cloudiness over mc,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
surface moisture flux convergence,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
blocking index,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
water vapour residence time,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
plant water use efficiency (wue),,,,,,,1,,,,,,,,1,,,,1,,,Ecosystem services,,Nature contribution,
rainfall variability,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
tropical precipitation,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
atmospheric internal variability,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
volcanic eruptions,,,,,,,1,,,,,,,,1,,,,,1,,Direct drivers,,Natural drivers,
ocean heat content ohc,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
greenland blocking index,,,,,,,1,,,,,,,,1,,,,1,,,Direct drivers,,Climate change,
bedrock topography,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
grounding line retreat,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Change in ecosystems,
retreat of ice sheet,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Change in ecosystems,
glaciar mass loss,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Change in ecosystems,
lake sediments,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,State of ecosystems,
speleotherm records,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
tide gauge,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
power dissipation index,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
spatiotemporal variability of meteorological parameters,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
surface albedo,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
sedimentary records,,,,,,,1,,,,,,,,1,,,,,1,,Knowledge systems,ecosystems,Specific information on human-nature relationship,Abiotic conditions
extreme temperatures,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
daily precipitation,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
daily temperature,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
mean air temperature,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
"changes in the number of warm nights, warm days, cold nights, and cold days",,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
combined extreme index (cei),,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
minimum temperature,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
reduction in post-volcanic eruption extreme precipitation,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
simple daily intensity index (sdii),,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
highest five day precipitation amount (rx5day),,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
highest one day precipitation amount (rx1day),,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
days of heavy precipitation,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
annual precipitation from daily precipitation > 95th percentile (r95p),,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
standardized precipitation index (spi),,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
consecutive dry days (cdd),,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
precipitation deciles and percentiles,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
potential evaporation anomalies,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
evaporative demand drought index (eddi),,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
standardized soil moisture index (ssmi),,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
standardized runoff index (sri),,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
standardized streamflow index (ssi),,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
threshold level methods,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
standardized groundwater index (sgi),,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
palmer drought severity index (pdsi),,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
precipitation deficits,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
excess of atmospheric evaporative demand (aed),,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
soil moisture deficits,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
hydrological deficits,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
atmospheric evaporative demand (aed),,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
number of consecutive dry days (cdd),,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
total soil moisture,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
soil moisture-based drought events,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
surface soil moisture,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
water-balance estimates,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
changes in low flows,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
changes in mean streamflow,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
pan evaporation measurements,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
penman-monteith aed (atmospheric evaporative demand),,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
genesis potential index,,,,,,,1,,,,,,,,1,,,,1,,,Direct drivers,,Natural drivers,
increase in global tc maximum surface wind speeds,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
accumulated cyclone energy (ace),,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
heat index (hi),,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
daily maximum tempreature above 35°c,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
climate velocity,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
accumulated seasonal heat,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
extreme canopy temperatures,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
2 m air temperatures,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
heat stress (humidity and temperature),,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
10-day cumulative precipitation,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
precipitation intensity-duration thresholds,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
thresholds related to antecedent wet periods,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
thresholds related to antecedent extreme rainfall intensities,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
changes in soil moisture,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems
changes in surface water,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems
water table depth,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
rooting depth,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
changes in precipitation,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems
changes in evapotranspiration demand,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems
changes in groundwater,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems
water flow volume,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
water intermittency thresholds,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
low-flows days,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
extreme low runoff,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
lightning frequency,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
fuel aridity,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
snow cover,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,ecosystems,Abiotic conditions,State of ecosystems
local wind circulations,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
snow water equivalent at key seasonal dates,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,ecosystems,Abiotic conditions,State of ecosystems
fraction of precipitation falling as snow,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,ecosystems,Abiotic conditions,State of ecosystems
first and last days of snow cover,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,ecosystems,Abiotic conditions,State of ecosystems
cold season temperatures,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
threshold when the local land elevation falls below the local mean higher high water (mhhw),,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,State of ecosystems,
threshold when flooding occurs about once every two weeks,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,Direct drivers,State of ecosystems,Natural drivers
rate of rslr (relative sea level rise),,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,ecosystems,Abiotic conditions,State of ecosystems
magnitude of shoreline retreat by a pre-determined planning horizon such as 50 or 100 years into the future,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems
beach erosion volume due to the 100-year recurrence storm wave height,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems
full exceedance probability distribution of coastal erosion volume,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Change in ecosystems,
cumulative storm energy and storm power index,,,,,,,1,,,,,,,,1,,,,1,,,Ecosystem services,ecosystems,Nature contribution,Abiotic conditions
climatic impact-driver (cid) magnitude,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
climatic impact-driver (cid) frequency,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
climatic impact-driver (cid) duration,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
climatic impact-driver (cid) timing,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
climatic impact-driver (cid) spatial extent,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
change in # days tx>35°c,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems
change in # days hi>41°c,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems
change in # droughts,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems
